id,book_description,genre_name,book_name,author_name
39,"Để học tốt lập trình ngoài tư duy logic, tư duy giải quyết vấn đề thì tiếng Anh cũng là một trong những yếu tố quan trọng. Bởi tài liệu học lập trình cũng như thuật ngữ bằng tiếng Anh là đa số. Tài liệu 150 thuật ngữ tiếng Anh trong ngành Công nghệ thông tin tổng hợp những thuật ngữ thường xuyên bắt gặp trong ngành Công nghệ thông tin mà bất cứ lập trình viên nào cũng cần nắm được.","Giáo trình-Bài giảng","150 THUẬT NGỮ TIẾNG ANH CHUYÊN NGÀNH LẬP TRÌNH",codeGym
40,"Cuốn Sổ tay nghề lập trình giúp bạn có được những thông tin tổng quan nhất về ngành nghề, định vị bản thân, xây dựng lộ trình học tập và phát triển.

Nội dung cuốn sổ tay xoay quanh nghề lập trình:

Tổng quan nghề lập trình;
Các vị trí công việc công nghệ thông tin;
Lập trình viên làm việc ở những đâu;
Lập trình viên nên học ngôn ngữ nào…","Giáo trình-Bài giảng","SỔ TAY NGHỀ LẬP TRÌNH",codeGym
41,""Sinh Học Cơ Thể" là một trong những giáo trình cơ bản của chương trình đào tạo Cao đẳng và Đại học cho các sinh viên chuyên ngành về Khoa học sự sống.

Sinh Học Cơ Thể" chủ yếu đề cập đến sinh học các cơ thể đa bào bậc cao như thực và động vật, là những sinh vật có mức độ tiến hóa cao nhất trong sinh giới và có tầm rất quan trọng đối với sản xuất cũng như đời sống con người.","Giáo trình-Bài giảng","SINH HỌC CƠ THỂ","PGS.TS Nguyễn Như Hiển"
42,"Chương 1: Khái niệm cơ bản về mạch điện

Chương 2: Phương pháp phân tích mạch điện

Chương 3: Mạch khuếch đại và khuếch đại thuật toán

Chương 4: Dạng sóng và tín hiệu

Chương 5: Quá độ trong mạch điện

Chương 6: Mạch điện xoay chiều

Chương 7: Đáp ứng tần số, lọc và cộng hưởng

Chương 8: Mạng hai cửa

Chương 9: Hỗ cảm","Giáo trình-Bài giảng","GIÁO TRÌNH LÝ THUYẾT MẠCH","Phạm Khánh Tùng"
46,"Cuốn sách Phẩm cách cha mẹ của tác giả Bando Mariko gồm 7 chương: Giáo dục sinh mệnh (bắt đầu từ lời chào hỏi, đến việc cả gia đình cùng ăn cơm, cùng con ca hát, đọc sách, khám phá thiên nhiên); Giáo dục phép tắc cư xử (cho con giúp đỡ cha mẹ, tạo cho con thói quen sinh hoạt tốt…); Giáo dục nhân tính (luôn giữ lời hứa, khiêm tốn vừa phải, giúp con tự tin…); Sự tiếp xúc với trường học, Giáo dục trẻ tuổi teen; Cách tiếp cận thông tin; Duy trì mối quan hệ giữa cha mẹ và con cái khi các con đã trưởng thành;","Giáo trình-Bài giảng","PHẨM CÁCH CHA MẸ","Bando Mariko"
54,"Cuốn sách Hướng dẫn sử dụng tâm mình này hoàn toàn phù hợp với bạn nếu bạn muốn dành cho mình những điều tốt đẹp và đáng trân quý nhất. Bạn muốn yêu thương chính bản thân, muốn quý trọng linh hồn của mình, muốn đi trên con đường khai tâm, để trở thành một phiên bản rực rỡ, rạng ngời, phiên bản tốt nhất của chính mình.","Sách tâm lý và kĩ năng sống","Hướng dẫn sử dụng tâm mình","Tạ Minh Tuấn"
61,"Tuổi Thơ Dữ dội của tác giả ở một đồng quê nghèo","Sách văn học nghệ thuật","Tuổi Thơ Dữ Dội","Phùng Quán"
62,"Ranh Giới","Sách văn học nghệ thuật","Ranh Giới","Đường Gia Tam Thiếu"
63,"Lại đêm nữa, bà đơn phương vùi khát thèm bằng trắng đêm giã gạo. Những đêm trăng quê yên tĩnh trải rộng miên man dài. Những đêm giã gạo toát mồ hôi, gió vừa đủ lạnh thấm lỗ chân lông gời gợi. Những đêm không chịu nổi, bà ôm chặt cái thân cối giã gạo, òa khóc cho hả lòng hả dạ, cho bớt tủi nhục cô đơn. Trong đêm, cái khúc gỗ nhãn làm thân cối giã gạo được bào nhẵn vuông tròn mịn màng hiển hiện như một thân thể đàn ông. Tại sao không cho bà được yêu thương, được ôm ấp, được giận hờn…","Sách văn học nghệ thuật","Con Hoang","Lê Hồng Nguyên"
64,"Ăn mừng","Sách văn học nghệ thuật","Ăn Mừng","Vũ Trọng Phụng"
68,"Vũ Trong Phụng viết Làm đĩ vào năm 1936, một thời đại thực sự hỗn loạn như đã hiện lên qua nhiều trang viết của ông và các nhà văn cùng thời. Xã hội thành thị Việt Nam thời ấy đang “Âu hóa” một cách nửa mùa – cái cũ chưa qua, cái mới chưa tới, đầy rẫy sự nhốn nháo, lừa lọc, sa đọa và đau khổ.","Sách văn học nghệ thuật","Làm Đĩ","Vũ Trọng Phụng"
11,"Là một bộ tiểu thuyết được viết lại trên cơ sở cuốn Vũ Vương phạt Trụ bình thoại
 in từ thời nhà Nguyên, trong đó bao gồm các tư liệu lịch sử cùng với các thần thoại, truyền
 thuyết, huyền huyễn, có nhiều nhân vật và tình tiết hư cấu như nhiều bộ tiểu thuyết đương 
 thời khác.","Tiểu thuyết","Phong thần diễn
 nghĩa","Nhiều tác giả"
12,"xuất bản
 năm 1926 của Nguyễn Văn Ngọc & Trần Lê Nhân","Tiểu thuyết","Cổ học tinh hoa","Nguyễn Văn Ngọc"
13,"Số đỏ là một tiểu thuyết văn học của nhà văn Vũ Trọng Phụng, đăng ở Hà Nội báo từ số 40 
 ngày 7 tháng 10 năm 1936 và được in thành sách lần đầu vào năm 1938. Nhiều nhân vật và câu
 nói trong tác phẩm đã đi vào cuộc sống đời thường và tác phẩm đã được dựng thành kịch, 
 phim.","Tiểu thuyết","Số đổ","Vũ Trọng Phụng"
14,"Hồng lâu mộng hay tên gốc Thạch đầu ký là một trong Tứ đại danh tác của Trung Quốc. Với hơn 100 triệu bản được xuất bản, tiểu thuyết này trở thành một trong những sách bán chạy nhất của mọi thời đại.","Tiểu thuyết","Hồng lâu mộng","Tào Tuyết Cần"
15,"Vũ Trọng Phụng là một nhà văn, nhà báo nổi tiếng của Việt Nam vào đầu thế kỷ 20.","Tiểu thuyết","Truyện ngắn Vũ Trọng Phụng","Vũ Trọng Phụng"
16,"xuất bản năm 1934 của Nhất Linh","Tiểu thuyết","Đoạn tuyện","Tự lực văn đoàn"
18,"Sống mòn là một thiên tiểu thuyết hiện thực dưới ngòi bút của nhà văn thiên tài Nam Cao. Tác phẩm là một bức tranh lột tả cuộc sống cơ cực của những kiếp người bất hạnh bị cái nghèo, cái đói biến thành nô lệ.","Tiểu thuyết","Sống mòn","Nam Cao"
19,"Chí Phèo là một truyện ngắn nổi tiếng của nhà văn Nam Cao viết vào tháng 2 năm 1941. Chí Phèo là một tác phẩm xuất sắc, thể hiện nghệ thuật viết truyện độc đáo của Nam Cao, đồng thời là một tấn bi kịch của một người nông dân nghèo bị tha hóa trong xã hội. Chí Phèo cũng là tên nhân vật chính của truyện.","Tiểu thuyết","Chí Phèo","Nam Cao"
20,"Kỹ nghệ lấy Tây là phóng sự thứ hai của Vũ Trọng Phụng, được đăng trên báo Nhật Tân vào năm 1934 và là một trong những tác phẩm góp phần khẳng định tài năng của ông vua phóng sự đất Bắc.","Tiểu thuyết","Kỹ nghệ lấy Tây","Vũ Trọng Phụng"
25,"Tiểu thuyết hiện thực của cố văn sĩ Vũ Trọng Phụng, mô tả những cảnh sống lầm than của dân quê, và những tình trạng khốn khổ của dân nghèo dưới thời Pháp thuộc... Xuất bản lằn đầu tiên năm 1936, sách cùa VTP đã được tái bản hiều lần.","Tiểu thuyết","Vỡ đê","Vũ Trọng Phụng"
26,"Phóng sự “Cạm bẫy người” viết về nạn cờ bạc bịp ở đất Hà thành những năm 1930, vạch rõ bộ mặt của một tệ đoan xã hội đồng thời nêu ra những bi kịch của nó cho bọn tín đồ “tôn giáo đỏ đen”.","Tiểu thuyết","Cạm bẫy người","Vũ Trọng Phụng"
50,"Tác phẩm Một nghệ thuật sống nêu lên những quan niệm về cuộc sống và cách sống: sống là gì, lẽ sống của con người, nhận biết chân giá trị của sự vật, hành động để giải thoát...Tác giả không tập trung khai thác, phân tích tâm lý con người như những sách nghệ thuật sống, rèn luyện nhân cách phổ biến hiện nay.","Tiểu thuyết","MỘT NGHỆ THUẬT SỐNG","Thu Giang"
51,"Diệp Thiếu Dương vốn là một Mao Sơn tróc quỷ nhân, dũng cảm tiến vào đô thị, gặp người đấu người, gặp quỷ đấu quỷ, gặp yêu đấu yêu, gặp hồ đấu hồ...","Truyện Kinh dị","Mao Sơn Tróc Quỷ Nhân","Thanh Tử"
55,"Ranh giới giữa văn học và cuộc sống đôi lúc rất mong manh. Có những tác phẩm làm người đọc đọc xong thấy con tim vui trở lại, thấy cuộc sống đẹp. Với điện thoại bạn đang cầm trên tay, tôi cũng hi vọng bạn đọc xong cái chết" để hiểu ý nghĩa của "tồn tại". Đọc xong "truyện ma quỷ" để bạn hiểu giá trị của "cuộc sống"."","Truyện Kinh dị","Chuyện Quái Dị ở Trường Học","Quái Đàm Hiệp Hội"
56,"Đang cập nhật","Truyện Kinh dị","Mụ Phù Thủy","Gloria Ericson"
57,"Mái học rùng rợn","Truyện Kinh dị","Mái Tóc Rùng Rợn","Tống Mạt Than"
58,"Căn Phòng Cấm","Truyện Kinh dị","Căn Phòng Cấm","R.L. Stine"
15,"Vũ Trọng Phụng là một nhà văn, nhà báo nổi tiếng của Việt Nam vào đầu thế kỷ 20.","truyện ngắn","Truyện ngắn Vũ Trọng Phụng","Vũ Trọng Phụng"
16,"xuất bản năm 1934 của Nhất Linh","truyện ngắn","Đoạn tuyện","Tự lực văn đoàn"
17,"xuất bản năm 1943 của Thạch Lam","truyện ngắn","Hà Nội ba sáu phố phường","Tự lực văn đoàn"
21,"Vang bóng một thời là một tập truyện ngắn và tùy bút của nhà văn Nguyễn Tuân. Tác phẩm được nhà xuất bản Tân Dân xuất bản lần đầu tiên năm 1940.","truyện ngắn","Vang bóng một thời","Nguyễn Tuân"
22,"Nguyễn Tuân (10 tháng 7 năm 1910 – 28 tháng 7 năm 1987) là một nhà văn người Việt Nam.

Nguyễn Tuân có sở trường về tùy bút và ký. Ông viết văn với một phong cách tài hoa uyên bác và được xem là bậc thầy trong việc sáng tạo và sử dụng tiếng Việt. Các tác phẩm của Nguyễn Tuân luôn thể hiện phong cách độc đáo, tài hoa, sự hiểu biết phong phú trong nhiều lĩnh vực và vốn ngôn ngữ giàu có, điêu luyện. Sách giáo khoa hiện hành xếp ông vào một trong 9 tác giả tiêu biểu của văn học Việt Nam hiện đại.","truyện ngắn","Tuyển tập Nguyễn Tuân","Nguyễn Tuân"
23,"Nguyễn Tuân (10 tháng 7 năm 1910 – 28 tháng 7 năm 1987) là một nhà văn người Việt Nam.

Nguyễn Tuân có sở trường về tùy bút và ký. Ông viết văn với một phong cách tài hoa uyên bác và được xem là bậc thầy trong việc sáng tạo và sử dụng tiếng Việt. Các tác phẩm của Nguyễn Tuân luôn thể hiện phong cách độc đáo, tài hoa, sự hiểu biết phong phú trong nhiều lĩnh vực và vốn ngôn ngữ giàu có, điêu luyện. Sách giáo khoa hiện hành xếp ông vào một trong 9 tác giả tiêu biểu của văn học Việt Nam hiện đại.[","truyện ngắn","Một chuyến đi","Nguyễn Tuân"
24,"Thạch Lam, tên thật là Nguyễn Tường Lân, là một nhà văn Việt Nam thuộc nhóm Tự Lực văn đoàn. Ông là em ruột của hai nhà văn khác cũng trong nhóm Tự Lực văn đoàn là Nhất Linh và Hoàng Đạo. Ngoài bút danh Thạch Lam, ông còn có các bút danh là Việt Sinh, Thiện Sỹ.","truyện ngắn","Truyện ngắn Thạch Lam","Tự lực văn đoàn"
47,"Tôi Mơ Một Giấc Mơ","truyện ngắn","Truyện ngắn đặc sắc","Nhiều tác giả"
48,"Nguyễn Công Hoan quê ở làng Xuân Cầu, tổng Xuân Cầu, huyện Văn Giang, phủ Thuận Thành, tỉnh Bắc Ninh (nay thuộc xã Nghĩa Trụ, huyện Văn Giang, tỉnh Hưng Yên). Ông sinh trong một gia đình quan lại xuất thân Nho học thất thế. Trong gia đình, từ nhỏ Nguyễn Công Hoan đã được nghe và thuộc rất nhiều câu thơ, câu đối và những giai thoại có tính chất trào lộng, châm biếm, đả kích tầng lớp quan lại. Điều đó ảnh hưởng mạnh mẽ đến phong cách văn chương của ông sau này. Ông có ba người em trai đều tham gia hoạt động cách mạng và giữ cương vị quan trọng là Nguyễn Công Miều (Lê Văn Lương) nguyên Ủy viên Bộ Chính trị, Nguyễn Công Bồng nguyên Phó Tổng Giám đốc Nha Công an và Nguyễn Công Mỹ nguyên Tổng Giám đốc đầu tiên của Nha bình dân học vụ.","truyện ngắn","TRUYỆN NGẮN - NGUYỄN CÔNG HOAN","Nguyễn Công Hoan"
49,"Khái Hưng tên thật là Trần Khánh Giư. Bút danh Khái Hưng được hình thành khi ông dùng phép đảo chữ để sắp xếp lại các chữ cái trong tên thật Khánh Giư.

.","truyện ngắn","TRUYỆN NGẮN - KHÁI HƯNG","Tự lực văn đoàn"
59,"Đang cập nhật","Truyện Ngắn - Ngôn Tình","Làm Vợ Bác Sĩ","Tiêu Phong"
60,"Không Có","Truyện Ngắn - Ngôn Tình","Tình Nhân Làm Ấm Giường Của Tổng Giám Đốc","Trần Viên Viên"
65,"Bụng trẻ con","Truyện Ngắn - Ngôn Tình","Bụng trẻ con","Vũ Trọng Phụng"
66,"nói về cái ghen của đàn ông gia trương trong xã hội cũ","Truyện Ngắn - Ngôn Tình","Cái ghen đàn ông","Vũ Trọng Phụng"
67,"Bối cảnh chính về sự bất bình của nhân vật chính khi lấy phải người vợ xấu xí","Truyện Ngắn - Ngôn Tình","Lấy Vợ Xấu","Vũ Trọng Phụng"
52,"Nơi đây không có ma pháp, không có đấu khí, cũng không có võ thuật, chỉ có duy nhất thứ gọi là Vũ Hồn. Trên mảnh đất Đấu La Đại Lục, Đường Môn sau vạn năm huy hoàng đã bắt đầu bước vào con đường suy thoái.","Truyện Tiên Hiệp","Đấu La Đại Lục","Đường Gia Tam Thiếu"
53,"Đấu Phá Thương Khung là một câu chuyện huyền huyễn đặc sắc kể về Tiêu Viêm, một thiên chi kiêu tử với thiên phú tu luyện mà ai ai cũng hâm mộ, bỗng một ngày người mẹ mất đi đễ lại di vật là một chiếc giới chỉ màu đen nhưng từ khi đó Tiêu Viêm đã mất đi thiên phú tu luyện của mình.","Truyện Tiên Hiệp","Đấu Phá Thương Khung","Thiên Tằm Thổ Đấu"
